hub,betweenness_centrality
IND000000ACB,0.22526196704599954
IND562132AAA,0.13156169607861504
IND712311AAA,0.08937763332076064
IND501359AAE,0.088279197775093
IND421302AAG,0.07537735931719333
IND411033AAA,0.05030358460238617
IND160002AAC,0.049084057248150584
IND131028AAB,0.044306545656102515
IND781018AAB,0.04399138437950339
IND600056AAB,0.04268726801899005
IND382430AAB,0.038563163397528966
IND110037AAM,0.03585104415910585
IND302014AAA,0.03554723948010465
IND209304AAA,0.034808406436825284
IND462022AAA,0.030345450113484624
IND683511AAA,0.02751057401812689
IND575004AAB,0.020269373074055876
IND842001AAA,0.01919939577039275
IND751002AAB,0.018605519001919896
IND313001AAB,0.017943705941591136
