destination_center,segment_actual_time,segment_osrm_time,avg_delay
IND490023AAA,879.0,61.0,818.0
IND221401AAA,585.0,35.0,550.0
IND796009AAA,376.875,48.625,328.25
IND145001AAA,350.84615384615387,56.8974358974359,293.94871794871796
IND473226AAA,316.6857142857143,38.885714285714286,277.8
IND424006AAA,299.3809523809524,25.07936507936508,274.30158730158735
IND176310AAA,331.0,68.3,262.7
IND754103AAA,275.72727272727275,26.09090909090909,249.63636363636365
IND222136AAA,256.3333333333333,17.666666666666668,238.66666666666666
IND282005AAA,252.33333333333334,13.833333333333334,238.5
IND482002AAA,228.25,8.0,220.25
IND723130AAA,237.6046511627907,33.674418604651166,203.93023255813955
IND233001AAA,221.875,20.625,201.25
IND416510AAA,209.1076923076923,13.169230769230769,195.93846153846152
IND250002AAC,223.55555555555554,33.44444444444444,190.1111111111111
IND796321AAB,206.23076923076923,40.07692307692308,166.15384615384613
IND232101AAB,167.63636363636363,13.181818181818182,154.45454545454544
IND786181AAC,154.73333333333332,11.222222222222221,143.5111111111111
IND276128AAA,166.0,22.9,143.1
IND518206AAA,167.125,26.125,141.0
