corridor,shipments
IND000000ACB->IND562132AAA,4970
IND562132AAA->IND000000ACB,3316
IND000000ACB->IND712311AAA,2831
IND000000ACB->IND501359AAE,1638
IND000000ACB->IND421302AAG,1616
IND421302AAG->IND000000ACB,1268
IND781018AAB->IND110037AAM,1137
IND421302AAG->IND562132AAA,1129
IND000000ACB->IND411033AAA,1120
IND000000ACB->IND600056AAB,1014
IND562132AAA->IND302014AAA,975
IND421302AAG->IND110037AAM,965
IND395023AAA->IND562132AAA,930
IND411033AAA->IND000000ACB,924
IND854326AAB->IND000000ACB,899
IND000000ACB->IND751002AAB,853
IND562132AAA->IND751002AAB,818
IND110037AAM->IND421302AAG,814
IND395023AAA->IND110037AAM,773
IND131028AAB->IND000000ACB,757
